1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,output
262.85727,314.88498,-122.88597,266.8684,311.984,-137.326,271.58948,312.68878,-137.38553,274.42978,311.86423,-137.45709,259.6305,313.3702,-137.67616,257.2575,313.21814,-137.71071,255.13538,313.06775,-137.73917,278.4881,302.9705,-150.83298,251.2104,306.81665,-152.99913,269.6043,306.85614,-121.06278,258.43088,309.34665,-121.56199,296.93738,269.14627,-133.92696,229.93011,268.86694,-131.01154,319.1297,244.66437,-74.049545,176.50111,255.4015,-78.63104,327.73828,304.83502,-32.7978,194.98698,302.21347,-53.63814,335.342,315.83795,-37.060486,188.94975,313.5523,-61.29154,328.56595,318.00983,-42.515343,195.4643,315.6865,-64.30825,323.95718,313.0031,-32.46516,199.0625,311.85397,-54.1118,270.29062,208.0079,5.2129726,243.25708,211.72314,-5.141596,267.82175,197.92653,148.41472,245.41132,200.50542,144.25555,261.81635,181.30261,298.8969,248.45523,183.88779,292.22815,260.0277,175.60289,317.58875,248.07819,177.80702,310.5769,264.8076,197.69406,338.18887,250.03796,198.49597,329.78012,0
264.1344,305.55267,-94.03757,268.1294,309.7387,-107.39436,270.70966,309.5516,-107.40428,272.9681,309.30197,-107.42435,258.82278,310.08755,-109.09141,255.95135,309.87616,-109.11742,253.51341,309.57455,-109.1292,276.3603,304.34988,-123.2572,249.90901,304.60883,-131.94371,268.2558,299.43884,-93.721664,257.89142,300.08676,-96.07431,297.82336,265.5763,-109.75323,228.84073,263.2149,-112.82497,321.60562,247.10233,-65.141205,202.92763,244.6006,-64.11153,328.75882,302.91907,-33.640472,195.67874,300.3007,-34.314613,337.79556,314.61124,-37.216843,190.29234,312.3587,-40.75492,329.86398,316.9865,-38.813644,195.88211,314.41168,-44.360054,324.56262,312.62582,-32.28155,199.77664,310.2442,-34.9975,273.30322,202.80551,0.54104066,245.9299,201.47389,-0.52870584,270.25024,194.7167,142.72122,249.08899,194.61635,136.10783,263.69632,175.8666,273.92096,251.76236,178.9256,271.04382,262.04907,168.76982,289.89035,252.05363,171.42204,287.4995,266.61285,196.45097,313.80548,253.82152,194.72684,311.5225,0
262.25388,311.8084,-118.249565,265.65714,316.24207,-134.28397,268.41434,315.98737,-134.32053,271.06274,315.71964,-134.38052,257.7613,316.5742,-134.26228,255.27646,316.50488,-134.30363,252.88405,316.36948,-134.3452,274.8791,312.05142,-153.7423,247.18051,311.48404,-154.8274,266.56152,306.57455,-118.381645,257.5928,306.53125,-118.57751,297.74695,270.18588,-135.79938,227.31323,268.1532,-135.66931,326.67575,246.53113,-89.61062,193.48788,243.37704,-84.105865,329.21646,304.14093,-58.87439,193.24571,302.38107,-54.19685,338.55725,315.58057,-64.66026,187.84914,315.0413,-60.636375,328.6041,318.471,-65.59579,194.1283,317.91104,-64.53623,322.93295,312.57388,-57.216564,198.04495,313.0158,-54.79584,271.83566,206.60799,1.1902322,244.03398,206.50305,-1.1478642,270.3716,199.76149,164.17838,248.95903,199.71423,157.60689,265.04263,180.56743,318.54425,250.89383,181.36702,313.20673,263.5099,173.86116,337.65497,251.16214,174.4819,332.47757,267.00937,203.69496,363.5008,253.53813,203.43034,357.6729,0
260.18372,329.22256,-121.58092,265.31296,327.42426,-133.52643,268.6118,327.01334,-133.55719,271.82278,326.41956,-133.60806,257.44092,327.0217,-135.26427,255.3449,326.63397,-135.29912,253.22614,326.4127,-135.30704,277.09085,319.6284,-139.28401,248.2623,320.45563,-148.12466,266.40454,315.55048,-117.2742,256.8591,316.2162,-119.70514,296.2208,282.96304,-123.270065,228.5661,279.44345,-125.22577,321.86346,244.53783,-77.20172,201.72157,243.1654,-78.997894,329.82733,303.64914,-44.11229,194.68747,301.9531,-49.909,339.8259,314.81393,-46.391018,186.76535,313.21564,-54.152897,330.74564,318.26862,-47.77576,194.93254,317.44128,-54.325462,324.96304,312.9572,-42.153435,199.13835,313.37827,-48.663868,274.4957,217.05197,2.3853915,245.15353,217.48657,-2.3481133,271.41843,202.31856,143.63382,249.20068,203.16672,140.71399,265.3395,181.35892,279.38086,251.45021,182.41441,279.18805,263.92853,175.19559,296.30853,250.99843,175.3182,296.58292,267.10654,199.66585,321.08188,254.24872,200.12462,321.99097,0
261.96414,306.0529,-108.71592,264.67703,310.05026,-121.96794,266.94708,309.87195,-121.99213,269.27936,309.61298,-122.03914,258.15134,309.81128,-123.2137,255.87466,309.41364,-123.24193,253.5428,308.8386,-123.27307,273.5586,305.63782,-135.27245,249.46806,303.55734,-141.89737,265.72876,300.80695,-107.43571,258.3334,300.12924,-109.265945,298.87402,264.31152,-118.17584,229.87221,263.17657,-122.53039,324.43005,246.96436,-79.0366,205.01764,248.2365,-78.22864,329.46558,303.6588,-58.57717,193.23917,302.38702,-53.900425,336.50955,314.9712,-65.07523,188.01355,313.58932,-61.508667,329.3432,317.624,-67.28881,193.26274,316.91824,-65.153336,324.88385,313.12146,-57.89302,196.73172,313.44952,-54.591278,271.24673,206.79025,-2.008719,246.6049,207.78969,1.9754796,269.3211,199.36594,144.24763,249.11304,200.25969,142.69023,264.5785,181.66614,279.7908,251.53352,181.80672,283.00116,263.2128,173.778,296.20496,251.16286,173.44508,300.1803,265.38562,200.82416,315.05817,252.99496,199.92966,320.8187,0
259.2794,329.3263,-119.130806,266.1416,330.73117,-129.18921,269.1342,330.23917,-129.211,271.8711,327.75763,-129.246,257.80576,329.05936,-131.4356,255.03175,327.76532,-131.45769,252.36285,326.7487,-131.45549,276.9308,316.7349,-129.16315,247.98732,317.26352,-140.51003,267.86768,319.38715,-113.153786,257.44135,319.3304,-116.30886,296.14676,282.61148,-111.75762,230.44301,280.75992,-116.00872,322.36813,245.09622,-66.87237,204.10143,248.02826,-70.356316,329.16388,302.70676,-35.636257,195.31096,302.91562,-39.32308,339.60956,313.39282,-36.87758,187.81102,313.72537,-42.581703,330.30606,317.21362,-38.21394,195.60754,317.49652,-41.979546,324.51718,312.83203,-33.738552,199.5245,313.64993,-37.66335,274.10696,222.16348,2.0150313,245.32437,223.21257,-1.9791001,271.40512,204.02943,131.35602,249.62595,205.03696,128.12093,263.76917,181.98265,253.63168,250.38966,182.15201,256.20148,262.05182,175.9208,269.0756,250.02594,175.60995,272.32703,266.22705,203.6121,293.5206,254.81189,202.93639,297.19662,0
118.18966,308.6088,52.477577,110.07564,305.1341,35.70618,109.99165,304.39432,35.659588,109.89813,303.5582,35.648983,110.1212,304.58984,54.8538,110.10036,303.4271,54.84807,110.093506,302.13403,54.764874,112.17788,294.05582,-10.541554,113.2276,291.14163,73.140236,124.74469,305.5971,38.780216,125.04416,305.07495,63.185097,141.6459,287.90796,-52.16921,161.02014,250.35782,114.485664,164.1497,320.26282,-91.15349,200.29623,224.80783,153.86853,154.17075,370.9472,-77.29824,187.45631,257.40738,173.15016,141.30215,383.44733,-85.20502,185.74391,257.2851,181.89893,137.18288,379.62192,-66.84997,180.30011,263.64337,169.38457,142.18594,374.54984,-67.78733,182.20482,267.13995,168.50246,261.4978,284.4175,-57.589424,262.71017,252.17311,57.52532,356.6244,291.28888,-54.624092,351.5227,265.76154,72.279854,443.68567,290.94794,-65.20118,431.07147,278.4136,85.484215,459.9621,286.49527,-67.7598,449.73425,276.1925,85.12033,436.5649,331.27448,-100.3762,422.9824,312.31015,58.87879,0
108.34508,277.14246,5.5469832,101.466866,272.5948,-12.401132,101.44282,271.32114,-12.429859,101.37674,270.05054,-12.419578,101.16853,272.94534,11.601366,100.95477,271.99854,11.581598,100.69579,270.9667,11.547916,104.35657,259.38126,-58.242123,103.6753,259.62543,47.191036,116.423996,272.964,-8.014504,116.388016,273.5037,22.770855,143.89537,258.95242,-110.991325,152.953,229.49448,112.047104,176.22093,309.28534,-146.7482,183.76163,264.692,168.22462,158.25044,368.4041,-118.128265,183.8201,296.48337,177.72586,156.51671,386.4986,-138.39507,175.89825,295.80573,187.90712,143.08444,383.80133,-120.97659,172.70609,299.47528,168.05801,152.48915,371.21997,-110.03019,175.67499,301.50443,170.04178,259.88028,263.19165,-69.18382,261.68994,238.01796,69.2827,350.48108,283.59302,-79.520706,346.06824,265.0097,104.35818,438.3142,291.43652,-83.13107,428.44366,278.74997,148.70805,457.01266,287.54102,-84.980835,446.93597,276.7754,151.96411,435.6238,331.035,-124.10006,421.99237,312.7332,122.69258,0
107.4414,307.63876,48.94918,100.406944,303.54123,30.073128,100.38556,302.77737,30.024916,100.382454,301.9831,29.996002,100.538506,303.24603,50.490948,100.606926,302.31387,50.501198,100.683205,301.31912,50.43428,104.09552,293.10464,-22.40148,104.50601,291.36533,67.448654,114.78061,304.47708,33.93273,115.09998,304.07748,60.04182,130.49042,290.19803,-63.87112,153.23279,249.50986,116.26316,171.55884,304.59515,-127.05816,203.27505,227.83665,158.89813,158.75345,357.58228,-159.36032,191.74608,265.6911,182.37155,149.40207,368.16464,-173.58466,184.95937,264.50357,193.85074,141.63551,364.16434,-148.9786,181.25223,272.7264,180.10783,146.9353,359.35446,-148.87126,183.74254,275.17017,177.38348,251.97386,296.0286,-61.72715,255.9482,259.24805,61.669228,344.88138,292.3901,-48.341614,338.93124,269.76758,89.54773,433.39587,287.73526,-45.148426,414.65488,271.30524,126.767136,448.46436,281.33755,-46.079,438.36395,271.41452,128.8751,434.8963,329.6925,-77.94766,423.87973,302.01385,103.441986,0
108.3625,274.97604,6.934874,101.16687,270.21283,-11.102507,101.09794,268.79034,-11.130024,101.054924,267.32898,-11.122044,101.06701,270.91693,13.211239,100.905876,270.1044,13.205088,100.72516,269.1564,13.191042,104.85366,256.08,-57.5795,104.21848,257.35938,49.178585,116.399475,271.0161,-6.883134,116.515434,271.9459,24.355907,143.01027,253.40593,-109.41055,153.54576,228.44174,116.17825,172.75937,306.72812,-143.73845,181.14532,279.44135,160.3616,156.67975,367.81638,-123.43696,171.19612,325.5477,152.67644,153.53392,384.03104,-144.45285,165.04912,321.89664,159.93752,140.69952,383.12936,-126.351326,165.03445,326.47165,139.28162,145.90968,378.98746,-115.22132,166.6983,328.03912,143.72984,258.95862,264.21625,-66.74707,261.1664,242.05621,66.83535,349.725,284.3384,-77.916435,347.63712,262.67352,96.134346,438.18588,290.75037,-81.63843,429.88376,281.02145,134.95456,454.01373,285.45514,-84.11605,447.5741,277.519,137.73065,436.59793,333.23935,-126.27545,426.98438,316.6867,106.204765,0
